preset,metric,p10,p25,p50,p75,p90,mean,std,min,max
Wide,compositeScore,0.909158,0.952631,1.003929,1.052740,1.104593,1.003791,0.075321,0.800816,1.236463
Wide,difficultyScore,0.488308,0.492254,0.496755,0.500618,0.505155,0.496645,0.006871,0.472375,0.517665
Tall,solutionPathCells,400.000000,429.000000,461.000000,493.000000,528.000000,461.946000,48.948167,332.000000,608.000000
Tall,solutionPathFraction,0.400000,0.429000,0.461000,0.493000,0.528000,0.461946,0.048948,0.332000,0.608000
Tall,solutionTurns,250.000000,267.000000,289.000000,312.000000,334.000000,290.130000,33.106028,195.000000,396.000000
Tall,turnsPer100PathCells,59.863946,61.390887,62.795699,64.339623,65.587045,62.791466,2.294112,55.955056,70.737327
Tall,solutionDecisionPoints,34.000000,38.000000,43.000000,48.000000,54.000000,43.556000,7.338042,27.000000,67.000000
Tall,decisionPointsPer100PathCells,8.128079,8.678501,9.362550,10.101010,10.752688,9.405529,1.041509,6.635071,13.761468
Tall,averageWrongBranchLength,5.672727,6.660000,7.883721,9.100000,10.567568,7.999064,1.904726,4.031250,14.137931
Tall,maxWrongBranchLength,50.000000,61.000000,73.000000,90.000000,108.000000,77.220000,25.381087,26.000000,242.000000
Tall,zoneCoverage,0.937500,1.000000,1.000000,1.000000,1.000000,0.989625,0.027842,0.875000,1.000000
Tall,minSpan,0.919192,0.969697,1.000000,1.000000,1.000000,0.977677,0.040598,0.727273,1.000000
Tall,generationTimeMs,0.635047,0.656046,0.678267,0.723717,0.952032,0.724019,0.128336,0.603700,1.278154
Tall,compositeScore,0.905495,0.952424,0.997798,1.049066,1.095401,0.999420,0.074611,0.799855,1.219355
Tall,difficultyScore,0.486489,0.491280,0.495919,0.500484,0.505467,0.495877,0.007752,0.468090,0.521313
WideRect,solutionPathCells,569.000000,627.000000,704.000000,790.000000,875.000000,715.216000,117.087358,476.000000,1076.000000
WideRect,solutionPathFraction,0.316111,0.348333,0.391111,0.438889,0.486111,0.397342,0.065049,0.264444,0.597778
WideRect,solutionTurns,362.000000,400.000000,448.000000,505.000000,567.000000,456.138000,76.534378,305.000000,687.000000
WideRect,turnsPer100PathCells,61.451613,62.566138,63.738019,65.037037,66.040462,63.757186,1.763508,58.805970,69.269103
WideRect,solutionDecisionPoints,45.000000,50.000000,59.000000,68.000000,75.000000,59.480000,12.428580,29.000000,101.000000
WideRect,decisionPointsPer100PathCells,7.057057,7.642276,8.300908,8.939974,9.538462,8.303968,0.999629,5.564142,11.519199
WideRect,averageWrongBranchLength,7.072464,8.470588,10.354839,12.509091,14.872340,10.719431,3.173620,4.510870,20.545455
WideRect,maxWrongBranchLength,88.000000,128.000000,176.000000,228.000000,287.000000,181.190000,72.735534,44.000000,450.000000
WideRect,zoneCoverage,0.875000,0.937500,1.000000,1.000000,1.000000,0.950625,0.063304,0.687500,1.000000
WideRect,minSpan,0.949153,1.000000,1.000000,1.000000,1.000000,0.985012,0.043114,0.728814,1.000000
WideRect,generationTimeMs,1.106317,1.136159,1.186150,1.313682,1.544545,1.283741,0.274996,1.010553,3.245224
WideRect,compositeScore,0.844223,0.907258,0.984690,1.073601,1.155196,0.993476,0.114049,0.784509,1.250000
WideRect,difficultyScore,0.450856,0.458426,0.466264,0.472597,0.478241,0.465407,0.010836,0.429742,0.498291
TallRect,solutionPathCells,577.000000,635.000000,711.000000,795.000000,865.000000,716.472000,107.687182,492.000000,1044.000000
TallRect,solutionPathFraction,0.320556,0.352778,0.395000,0.441667,0.480556,0.398040,0.059826,0.273333,0.580000
TallRect,solutionTurns,364.000000,403.000000,451.000000,506.000000,553.000000,456.460000,70.403440,304.000000,663.000000
TallRect,turnsPer100PathCells,61.237374,62.500000,63.720930,64.967105,66.034483,63.700406,1.831172,57.886905,68.658699
TallRect,solutionDecisionPoints,45.000000,51.000000,59.000000,68.000000,75.000000,59.702000,11.714316,31.000000,90.000000
TallRect,decisionPointsPer100PathCells,7.152318,7.577375,8.271787,8.981233,9.768638,8.329053,1.060662,5.751391,12.658228
TallRect,averageWrongBranchLength,7.160000,8.423077,10.350877,12.535714,14.355556,10.655647,2.997798,4.788889,20.612903
TallRect,maxWrongBranchLength,95.000000,127.000000,174.000000,224.000000,281.000000,182.374000,71.962422,51.000000,456.000000
TallRect,zoneCoverage,0.875000,0.937500,1.000000,1.000000,1.000000,0.952750,0.059440,0.750000,1.000000
TallRect,minSpan,0.949153,1.000000,1.000000,1.000000,1.000000,0.987862,0.035049,0.745763,1.000000
TallRect,generationTimeMs,1.119006,1.156149,1.206309,1.411455,1.608478,1.319454,0.300512,1.016751,3.251613
TallRect,compositeScore,0.850971,0.918454,0.987154,1.077736,1.141480,0.996029,0.105758,0.783375,1.250000
TallRect,difficultyScore,0.452346,0.459119,0.466446,0.472275,0.477115,0.465492,0.009680,0.427899,0.488288
